,Time_index,Frequency,Bandwidth,Amplitude
4762,"[4762, 4762, 4762, 4762]","[243, 361, 486, 707]","[23.723162858485495, 38.10496247910379, 22.23409719906249, 106.2543407531017]","[1460.7388666294785, 107.43619144667288, 22.890869330194196, 8.447632753363473]"
4763,"[4763, 4763, 4763, 4763]","[243, 363, 486, 706]","[23.716717807603146, 38.00786197671886, 22.45883908185857, 47.74786167794446]","[1444.3498453891925, 108.69515444083916, 22.927934110518457, 9.52403977063039]"
4764,"[4764, 4764, 4764, 4764]","[243, 362, 485, 705]","[23.71661125953321, 38.985034878490296, 22.748909632317748, 43.71869031770291]","[1453.8194571922227, 114.93181209340518, 23.383972667236456, 9.950471986073259]"
4765,"[4765, 4765, 4765, 4765]","[243, 362, 485, 594]","[23.738634173158147, 39.211720341494754, 22.988194801765644, 40.0900756369831]","[1495.5401312056065, 120.03694824229952, 23.627473465837618, 9.205466149454518]"
4766,"[4766, 4766, 4766]","[243, 361, 485]","[23.832588387567313, 38.527628359970834, 23.859920591487878]","[1552.8258747557, 132.4039159125054, 30.25536660191016]"
4767,"[4767, 4767, 4767, 4767]","[80, 243, 361, 521]","[27.643503466948175, 25.09180493008884, 33.22985030976008, 65.90127977758186]","[528.3345338753074, 1836.8721363485174, 312.41041013547783, 301.99305594026896]"
4768,"[4768, 4768, 4768, 4768]","[77, 243, 522, 652]","[29.493132337129346, 25.350112770965723, 73.89972913856559, 20.36479718539465]","[1402.9961690558316, 2139.8487664297513, 667.2980784604985, 510.94329731957464]"
4769,"[4769, 4769, 4769, 4769]","[76, 243, 522, 652]","[29.066049873266202, 25.642975025721114, 74.0097849868427, 20.452943075780922]","[1427.5758509318607, 2120.9446152120063, 668.199637845273, 515.5671429451193]"
4770,"[4770, 4770, 4770, 4770]","[76, 243, 522, 652]","[29.068574628055615, 25.690763818949705, 74.60056906095264, 20.453758043108223]","[1427.3501976701002, 2110.4350937844433, 668.0811175737895, 515.4141286128828]"
4771,"[4771, 4771, 4771, 4771]","[76, 242, 522, 652]","[29.066681891189006, 25.719496879755525, 75.20198646660037, 20.42736504611878]","[1427.298601231916, 2075.9240503371793, 668.0126680065814, 514.6536584112868]"
4772,"[4772, 4772, 4772, 4772]","[76, 242, 522, 652]","[29.05834231835086, 25.75020754121448, 75.79533369443408, 20.40860828876248]","[1427.1639910138197, 2064.575252815055, 667.9439060673401, 514.0737609462664]"
4773,"[4773, 4773, 4773, 4773]","[76, 242, 522, 652]","[29.046894563868648, 25.778111372573136, 76.74950536165721, 20.372213697344023]","[1427.071693885348, 2056.7439546489986, 667.8465662293165, 513.5767578527154]"
4774,"[4774, 4774, 4774, 4774]","[76, 242, 522, 652]","[29.039171813462374, 25.804421574635654, 78.15551607499941, 20.35121303275514]","[1427.0382374826982, 2035.71166334507, 667.7084400821134, 513.3450303044851]"
4775,"[4775, 4775, 4775, 4775]","[76, 242, 522, 652]","[29.047360795875356, 25.80036183146038, 142.62884621748026, 20.349816546767556]","[1426.7073267202525, 2022.8398413002055, 667.6120305606851, 513.2595951281832]"
4776,"[4776, 4776, 4776, 4776]","[76, 242, 522, 652]","[29.04984790396601, 25.81161472817263, 142.78648466048224, 20.340944808483073]","[1426.303487315509, 2024.1517224821116, 667.4479928802148, 513.0262427159872]"
4777,"[4777, 4777, 4777, 4777]","[76, 242, 522, 652]","[29.046445895422927, 25.838052237000312, 143.06034048939364, 20.30737934962042]","[1426.0210141790383, 2016.6838213778015, 667.2745947924519, 512.5555428703957]"
4778,"[4778, 4778, 4778, 4778]","[76, 243, 522, 652]","[29.044690226362256, 25.857716792244275, 143.28743942223315, 20.29751060462013]","[1426.1239863442727, 2005.7674485985413, 667.152368036882, 512.3941531765365]"
4779,"[4779, 4779, 4779, 4779]","[76, 243, 522, 652]","[29.039377024764235, 25.85062900614909, 143.38190122993308, 20.292719962992237]","[1426.3057778761192, 2005.7440022722255, 667.1300710942808, 512.1397432191421]"
4780,"[4780, 4780, 4780, 4780]","[76, 243, 522, 652]","[29.041639961833546, 25.849211102844293, 143.2667588242855, 20.28772570003389]","[1426.1237943217761, 2007.843944046654, 667.0540901090371, 511.9562566503579]"
4781,"[4781, 4781, 4781, 4781]","[76, 243, 522, 652]","[29.047315636544326, 25.86944997011122, 143.54245358539742, 20.288583078685747]","[1425.7546632833307, 1992.1625570357633, 666.976565452773, 511.8840466729026]"
4782,"[4782, 4782, 4782, 4782]","[76, 243, 522, 652]","[29.0485167995065, 25.89150567500343, 143.78615279328824, 20.283799142047428]","[1425.5964836602475, 1962.5951127384797, 666.8375667827555, 511.80656367180603]"
4783,"[4783, 4783, 4783, 4783]","[76, 243, 522, 652]","[29.0546856324816, 25.68119511098479, 144.12551942971294, 20.327632323285115]","[1425.2755096845885, 1937.9752411172153, 663.7664530055861, 509.3090265345904]"
4784,"[4784, 4784, 4784, 4784]","[75, 242, 523, 652]","[29.207112999289954, 23.717441140455975, 142.7280992346793, 21.370131599338038]","[664.1390005270716, 1575.6253450700206, 252.3473752399148, 199.68888340723174]"
4785,"[4785, 4785, 4785]","[73, 243, 485]","[21.19707548833707, 23.751342072822638, 24.475440162732866]","[24.321962131459966, 1375.0798363501904, 26.4977159235113]"
4786,"[4786, 4786]","[242, 485]","[23.747869664918255, 24.337596979963394]","[1384.8284774291471, 23.61498730081158]"
4787,"[4787, 4787]","[242, 485]","[23.777176979699647, 25.19004348957452]","[1395.0810557970515, 24.194879815259576]"
4788,"[4788, 4788]","[242, 485]","[23.846117655498148, 26.208639403358063]","[1402.2424986114047, 25.068309042493404]"
4789,"[4789, 4789]","[242, 485]","[23.984918184749972, 27.471341027634537]","[1404.122081261085, 25.773516261125472]"
4790,"[4790, 4790]","[242, 486]","[24.171940969778063, 28.865362606725]","[1399.2015628089093, 26.38739784685921]"
4791,"[4791, 4791]","[241, 486]","[24.336988012875423, 30.099672380207664]","[1384.426579980953, 26.538417227162476]"
4792,"[4792, 4792]","[241, 486]","[24.54481858506111, 31.597825282173346]","[1374.2752185390136, 26.542996188392475]"
4793,"[4793, 4793]","[240, 486]","[24.735528162992722, 33.04888770568465]","[1372.4811810974659, 25.90331985099888]"
4794,"[4794, 4794, 4794]","[18, 240, 485]","[13.888369753890498, 24.84792201816228, 34.66051469505777]","[39.94694645211501, 1373.8027532309445, 24.98638757824979]"
4795,"[4795, 4795, 4795]","[19, 239, 484]","[15.779974983939171, 24.922872315323445, 36.92776316716936]","[40.79779914763676, 1382.2053363941882, 24.25404458415362]"
4796,"[4796, 4796, 4796]","[19, 238, 484]","[15.633254865338131, 25.01853807364978, 39.49418450089183]","[40.66318855052676, 1383.4299152970016, 23.664898900776798]"
4797,"[4797, 4797, 4797]","[19, 238, 483]","[15.223840560467966, 25.059661748869388, 83.70294107742814]","[40.84257890547204, 1387.7894614571326, 22.90795028182826]"
4798,"[4798, 4798, 4798]","[18, 237, 481]","[15.172534606508417, 24.99012191295722, 89.08919461217783]","[42.65729342154426, 1398.5128681206854, 22.523582601076015]"
4799,"[4799, 4799, 4799, 4799]","[18, 237, 427, 531]","[15.549556097326816, 24.86627097048921, 19.653707790665976, 120.89134677165697]","[42.29116317620613, 1411.1871427560775, 12.751681607941741, 22.420225160446098]"
4800,"[4800, 4800, 4800, 4800]","[18, 236, 426, 531]","[15.493378227555649, 24.774852537102618, 20.143859735354113, 129.1327138862544]","[40.108946177262816, 1417.7528572479298, 13.45451443848606, 22.59132744459429]"
4801,"[4801, 4801, 4801, 4801]","[18, 236, 474, 579]","[14.978886373213802, 24.656866331124093, 27.161194983635255, 85.15207065195938]","[40.70685338251602, 1422.9372329285552, 20.56175204416548, 25.19861639022601]"
4802,"[4802, 4802, 4802, 4802]","[17, 235, 472, 580]","[14.20072604565153, 24.51516196407539, 23.63978692440827, 32.148411766851154]","[40.166758432001984, 1427.1347149339063, 20.034837463297652, 34.81068958271344]"
4803,"[4803, 4803, 4803, 4803]","[16, 235, 470, 581]","[14.052385706420903, 24.396474832743337, 19.786702000568994, 30.25049162440189]","[40.0023376814889, 1428.4835318174935, 20.351890945522197, 43.663873640450475]"
4804,"[4804, 4804, 4804, 4804]","[16, 234, 469, 583]","[13.844935379136764, 24.239577096046872, 19.470388719164248, 29.76884845370182]","[40.6319848522752, 1427.3726066059278, 20.263246692694654, 51.39979962850964]"
4805,"[4805, 4805, 4805, 4805, 4805]","[15, 234, 468, 583, 835]","[13.293333763329553, 24.14759602397237, 19.10932380422736, 29.587991503821172, 49.90439682586805]","[40.23506997860445, 1414.9780222322279, 19.995122886439272, 59.752805754757304, 7.908018919727338]"
4806,"[4806, 4806, 4806, 4806]","[233, 467, 584, 834]","[24.06313889771519, 19.067053792862964, 29.85278259880681, 53.44613831755521]","[1389.2317652793217, 19.64129587885111, 63.92485623416108, 8.149291994677045]"
4807,"[4807, 4807, 4807, 4807]","[233, 466, 583, 834]","[23.976454443677767, 20.326864385061867, 30.39414070847704, 53.418615728229724]","[1373.468119910488, 20.355670447568052, 66.29103550192872, 8.17357463033602]"
4808,"[4808, 4808, 4808, 4808]","[233, 465, 583, 836]","[23.95011787711988, 21.128041307180297, 30.948908174534154, 55.167299207567225]","[1360.5755612594812, 20.774222647066033, 70.22224148086019, 8.675872932463307]"
4809,"[4809, 4809, 4809, 4809]","[232, 464, 584, 839]","[23.90965787529447, 21.74810729995096, 31.938652943998818, 58.46535668205968]","[1341.6027155739675, 21.071920700638795, 72.78770430302528, 9.600147126267496]"
4810,"[4810, 4810, 4810, 4810]","[232, 464, 584, 840]","[23.87487216949455, 22.114732291782786, 32.89253256881818, 58.70910881525663]","[1321.9678140681997, 21.72905874786271, 74.85821572288721, 10.101994053471815]"
4811,"[4811, 4811, 4811, 4811]","[232, 463, 585, 839]","[23.865704324463593, 22.178179582605424, 34.26226861958389, 57.54016975908257]","[1299.8538896449093, 22.052851915664956, 77.98649827157985, 10.83237950884017]"
4812,"[4812, 4812, 4812, 4812]","[231, 462, 586, 838]","[23.872552683414625, 22.55721923176594, 34.49111388564393, 58.47574999787378]","[1282.2867014937171, 22.454357944765647, 82.72685931858557, 10.765739699829457]"
4813,"[4813, 4813, 4813, 4813]","[231, 462, 586, 837]","[23.879613745985097, 22.961978566875302, 34.63332014290734, 59.9919387384781]","[1266.9774071592637, 23.283157950061707, 86.2557376334642, 10.647551544021638]"
4814,"[4814, 4814, 4814, 4814, 4814]","[15, 231, 462, 587, 837]","[13.27119812950826, 23.87537703038285, 23.2015801646441, 35.72462493378441, 65.3983542660178]","[37.8648086661093, 1252.7688105189275, 23.81947437973687, 85.02693567741669, 10.602330753082459]"
4815,"[4815, 4815, 4815, 4815, 4815]","[16, 231, 461, 588, 837]","[13.685479147644534, 23.848414577865867, 22.99437809131041, 35.931131237062914, 69.66422856519807]","[35.312632236093755, 1239.108149413459, 23.72358543615057, 84.81867117444195, 11.284071632271088]"
4816,"[4816, 4816, 4816, 4816, 4816]","[15, 230, 461, 588, 835]","[13.540837085085336, 23.843347005368486, 22.886619168388222, 36.41251971737188, 70.31165259482896]","[34.86704967211876, 1230.0621957300232, 23.58247072871673, 84.50744661031389, 11.86070658035566]"
4817,"[4817, 4817, 4817, 4817]","[230, 460, 589, 835]","[23.83329158170679, 22.96951494084408, 37.35663535256754, 77.21738177260363]","[1219.5152825694136, 23.691528181443413, 81.81665866356798, 11.887843998965124]"
4818,"[4818, 4818, 4818, 4818]","[230, 460, 589, 838]","[23.82812638913714, 22.983340576607702, 39.10190341759596, 84.7411924631233]","[1210.1273147342274, 24.191316816049014, 78.65205596760634, 11.54220274113864]"
4819,"[4819, 4819, 4819, 4819]","[230, 459, 591, 842]","[23.832518234903745, 23.12109947838087, 40.729184798751476, 91.14072237225912]","[1208.0699279592052, 24.795764160689124, 74.45622187602197, 11.268089493397598]"
4820,"[4820, 4820, 4820, 4820]","[230, 459, 593, 846]","[23.836864176720468, 23.08322447070975, 43.027116015390675, 99.93851032326984]","[1209.8099799493893, 25.12101598077234, 70.91775548220032, 10.293158018614525]"
4821,"[4821, 4821, 4821, 4821, 4821]","[229, 336, 459, 595, 878]","[23.85661609437645, 29.39050332648179, 23.058306852319276, 48.43782181502979, 105.87257528289126]","[1217.2932035040317, 13.251716251269404, 25.60789989167933, 63.42282186752598, 9.48948959228139]"
4822,"[4822, 4822, 4822, 4822, 4822]","[229, 337, 458, 598, 879]","[23.83359673944753, 29.06069253948175, 23.222275058366847, 48.401975574718676, 98.85103138872046]","[1222.4385041011628, 13.396168441807063, 25.854824739475802, 60.7547519836009, 9.449121049477718]"
4823,"[4823, 4823, 4823, 4823, 4823]","[229, 338, 458, 598, 880]","[23.837651609594104, 28.588678354397075, 23.27724582720208, 47.046107840032505, 93.1254316617044]","[1234.6370206774473, 12.77918796863947, 25.645562028907236, 63.48577791704708, 9.88587611099145]"
4824,"[4824, 4824, 4824, 4824, 4824]","[229, 339, 458, 598, 880]","[23.840326392521916, 28.10165087790665, 23.253231980526436, 44.856678069579175, 98.89899139744921]","[1241.1828656496627, 13.706487329069962, 25.983259352944195, 64.28659033154666, 9.912165541737883]"
4825,"[4825, 4825, 4825, 4825, 4825]","[229, 338, 457, 598, 881]","[23.850873409277852, 25.34055367344928, 23.137356960210695, 47.64680390059277, 106.99532410816619]","[1241.4445890782729, 15.627084296034855, 27.054303162111896, 62.617701045094186, 10.286055211591927]"
4826,"[4826, 4826, 4826, 4826, 4826]","[58, 229, 458, 599, 748]","[44.529118997597415, 24.08154359782222, 28.059364133799875, 57.695175477672365, 76.65847252035906]","[235.1814725015103, 1245.8355681568412, 47.92402497551004, 75.30237294609401, 83.11998172704281]"
4827,"[4827, 4827, 4827, 4827, 4827]","[47, 229, 458, 602, 747]","[19.5366753388319, 24.252384129202284, 30.29182666681686, 64.55827971848896, 75.48585737319456]","[563.585743218551, 1264.5029959786007, 69.0680718597961, 87.25476071935225, 168.57619412948384]"
4828,"[4828, 4828, 4828, 4828, 4828]","[46, 229, 458, 609, 747]","[16.172659965045305, 24.244264237107586, 30.238577931222096, 67.68236910503606, 75.32280967857946]","[571.2779347820579, 1268.3673270589447, 68.66384745754807, 81.2017709358959, 168.64387060732676]"
4829,"[4829, 4829, 4829, 4829, 4829]","[47, 228, 458, 613, 747]","[16.28530308626805, 24.21793669824504, 30.392531177867056, 68.33312169568796, 75.32830028576927]","[571.4421738654138, 1264.6697123831234, 68.20250641676094, 78.85357392147613, 168.55762123851417]"
4830,"[4830, 4830, 4830, 4830, 4830]","[47, 228, 458, 614, 747]","[16.331766425414465, 24.21168710917729, 30.552313023231306, 68.80271408500369, 75.3961136652531]","[571.5023009410546, 1267.1355562082886, 67.98884606667878, 76.5812292283611, 168.40559455679636]"
4831,"[4831, 4831, 4831, 4831, 4831]","[47, 228, 458, 615, 747]","[16.25170732054167, 24.229322993421988, 30.567858860007732, 71.40650179670934, 75.44711884810022]","[571.6173408115404, 1275.1667452406732, 68.19580701580374, 71.96474914268283, 168.35343942629416]"
4832,"[4832, 4832, 4832, 4832, 4832]","[47, 229, 458, 615, 747]","[16.253894133479633, 24.27930658980472, 30.505031672746156, 71.0453919462725, 75.52548258002616]","[571.7787410608693, 1286.1911214395768, 68.3609778759829, 68.39988342695517, 168.26832800118422]"
4833,"[4833, 4833, 4833, 4833, 4833]","[47, 229, 459, 616, 747]","[16.257151196232904, 24.342206293910237, 30.591619782945145, 68.73598488973732, 75.61340846758674]","[571.908950999043, 1295.8808354784621, 68.44794845759209, 67.53728848128335, 168.20419965969296]"
4834,"[4834, 4834, 4834, 4834, 4834]","[46, 229, 459, 616, 747]","[16.19065159149033, 24.39902722737324, 30.660858969554795, 68.74837389183313, 75.53207379971002]","[572.0666342537636, 1308.9103136926801, 68.44006106678006, 65.12109018174654, 168.10918764367247]"
4835,"[4835, 4835, 4835, 4835, 4835]","[46, 229, 459, 616, 747]","[16.093780370386163, 24.437226172793004, 30.667175346376155, 66.83415635293898, 75.57127461078483]","[572.130127131827, 1314.0320634028953, 68.18864818451948, 63.29100231168926, 167.93288305512024]"
4836,"[4836, 4836, 4836, 4836, 4836]","[46, 229, 459, 617, 747]","[16.04033067169145, 24.47723061823754, 30.642488539148587, 68.16627831262974, 75.5776849689156]","[572.146450671481, 1320.120027100952, 67.79622979254079, 59.68229879639987, 167.82307938435247]"
4837,"[4837, 4837, 4837, 4837, 4837]","[46, 229, 459, 619, 747]","[16.078020546172702, 24.473561571075237, 30.812851261567914, 66.9146879348541, 75.61836592003874]","[572.0414041110855, 1321.4108189331432, 67.4285229207013, 57.719588158286605, 167.73981984307818]"
4838,"[4838, 4838, 4838, 4838, 4838]","[46, 230, 460, 619, 748]","[16.171522207865834, 24.431736540061678, 31.030330007262194, 64.7463825411453, 75.61599944007617]","[571.8697747113823, 1324.4633992269582, 67.31139447481338, 57.16305147169181, 167.69180958484694]"
4839,"[4839, 4839, 4839, 4839, 4839]","[47, 230, 460, 620, 748]","[16.31879035874043, 24.4190094329862, 31.039709863737357, 65.21535430579581, 75.63933822130195]","[571.8949090223258, 1335.3273589535706, 67.409504913924, 54.599906536726294, 167.65009589684342]"
4840,"[4840, 4840, 4840, 4840, 4840]","[47, 229, 460, 621, 748]","[16.471517344072005, 24.420144382219917, 31.238338506915625, 64.98360776495326, 75.65881711952318]","[571.8472664043749, 1338.0234366401842, 66.72759650212578, 52.37754800542165, 167.60316023759069]"
4841,"[4841, 4841, 4841, 4841, 4841]","[47, 229, 460, 621, 748]","[16.61257034902843, 24.43817430799777, 31.680269333867955, 62.786266519401124, 75.5371310731216]","[571.7831066465891, 1341.0722749044016, 65.19544278918718, 51.56037639451766, 167.66129028626395]"
4842,"[4842, 4842, 4842, 4842, 4842]","[46, 229, 460, 621, 748]","[16.326699000053388, 24.444077409237934, 32.46757246056569, 57.45372037181755, 75.28345707637413]","[568.9480175876763, 1357.977446437158, 63.23348671651062, 49.9821075843154, 165.47847654780324]"
4843,"[4843, 4843, 4843, 4843]","[229, 459, 621, 743]","[24.235220069783566, 27.276515474061057, 44.0039334967189, 73.23400405605139]","[1357.6624451085577, 34.060892815005545, 17.629747996715462, 58.38452772904262]"
4844,"[4844, 4844]","[229, 458]","[24.22940344379691, 25.48218670245467]","[1351.501755313398, 20.060828163288217]"
4845,"[4845, 4845]","[229, 457]","[24.354592388215252, 26.526473185656812]","[1358.4030801760528, 20.42174598713555]"
4846,"[4846, 4846]","[228, 457]","[24.46910577554857, 27.359023632413425]","[1368.4905506893235, 20.12431241661247]"
4847,"[4847, 4847]","[228, 456]","[24.569880634057, 28.106510887374213]","[1375.0218110968633, 19.518554926036725]"
4848,"[4848, 4848]","[228, 456]","[24.630652467289735, 28.73025012120877]","[1372.2132173402417, 18.925297946683298]"
4849,"[4849, 4849]","[227, 455]","[24.59662203456577, 28.688468161476408]","[1369.6861911641674, 18.37481735580264]"
4850,"[4850, 4850]","[227, 454]","[24.47272070065307, 28.115904925315306]","[1372.8935586170815, 18.172814520941255]"
4851,"[4851, 4851]","[226, 453]","[24.335471558636897, 27.40759751521699]","[1372.6814185620499, 18.46783507159074]"
4852,"[4852, 4852]","[226, 452]","[24.15894121469742, 26.331825459732215]","[1377.0486176258664, 18.929460851679423]"
4853,"[4853, 4853]","[226, 451]","[24.016645994552476, 25.4220859259064]","[1370.0470243672112, 19.49072211457876]"
4854,"[4854, 4854, 4854]","[225, 450, 541]","[23.906265374031506, 24.922133986114034, 59.021708497087786]","[1361.4383825947825, 19.336127963505106, 13.329093095181905]"
4855,"[4855, 4855, 4855]","[225, 450, 545]","[23.839439213338466, 24.47017231872161, 56.55342535439945]","[1361.515617033245, 19.0541358612177, 15.901133849570167]"
4856,"[4856, 4856, 4856]","[225, 449, 545]","[23.81194263258803, 24.399720460096603, 56.91204129423335]","[1357.7333495985654, 19.67734227399134, 17.324950929061373]"
4857,"[4857, 4857, 4857]","[224, 449, 549]","[23.785921166658312, 24.463266319564696, 58.110997916001565]","[1345.674279616474, 20.282542410250297, 19.69094590953242]"
4858,"[4858, 4858, 4858]","[224, 448, 553]","[23.775712264197466, 21.02960140869277, 62.89224344684857]","[1328.8318613757901, 21.16292874627191, 25.154710605088056]"
4859,"[4859, 4859, 4859]","[224, 448, 555]","[23.7791727277054, 21.15172686368595, 58.00078496033302]","[1306.344747027506, 21.819452986296234, 29.3258788267031]"
4860,"[4860, 4860, 4860]","[224, 448, 555]","[23.792275795186157, 21.210842327868022, 53.84618153349595]","[1280.3779866543564, 21.626026905979444, 32.30424893735427]"
4861,"[4861, 4861, 4861]","[223, 447, 556]","[23.82061117242165, 21.348523472442366, 42.7203515513022]","[1256.5341339615557, 21.019034201187427, 36.168661511624705]"
4862,"[4862, 4862, 4862]","[223, 447, 556]","[23.830753453559765, 21.59129638124557, 41.49246661020493]","[1234.8860559032908, 19.97143208526127, 39.58013475408687]"
4863,"[4863, 4863, 4863]","[223, 446, 557]","[23.848093424271383, 21.88408465690344, 42.466686087121616]","[1216.520694407175, 19.41436271225654, 41.469385645639946]"
4864,"[4864, 4864, 4864]","[223, 446, 557]","[23.869298217616915, 21.97200014252161, 45.26717854765002]","[1205.7775864906553, 18.778524667812352, 42.81954310656227]"
4865,"[4865, 4865, 4865]","[223, 446, 557]","[23.888442428003884, 22.056912614398414, 47.96465763460833]","[1190.7596821291916, 18.72232893627946, 44.86233162929521]"
4866,"[4866, 4866, 4866]","[223, 445, 557]","[23.90396379882293, 22.20495216453827, 48.01846543933755]","[1168.2181604657676, 19.68363846205782, 47.27384411044936]"
4867,"[4867, 4867, 4867]","[222, 445, 557]","[23.876179043307985, 22.59514573743928, 48.825556171360404]","[1147.998096798282, 20.250757268134976, 48.69454376195001]"
4868,"[4868, 4868, 4868, 4868]","[15, 222, 444, 557]","[12.88241911446626, 23.83960265217914, 22.831006742888064, 57.327068619272495]","[42.952478003675004, 1136.240897589521, 20.181759433317147, 49.75409514932526]"
4869,"[4869, 4869, 4869, 4869]","[15, 222, 444, 558]","[13.245068911713448, 23.826924614369375, 22.818027780798218, 61.273595762885066]","[43.18291816900292, 1127.5339597102197, 20.042668761561035, 50.20631769637704]"
4870,"[4870, 4870, 4870, 4870]","[15, 222, 443, 559]","[12.849618824328786, 23.843547882098363, 22.85382925202714, 61.020092331540354]","[43.28563961568454, 1130.2386325531947, 20.34175771119364, 49.63704547847121]"
4871,"[4871, 4871, 4871, 4871]","[221, 443, 561, 836]","[23.84353545284577, 23.104102381627968, 59.73463084389448, 36.39711798491339]","[1129.7797853019708, 21.12161968341725, 50.95654530962781, 6.858960753158125]"
4872,"[4872, 4872, 4872, 4872]","[221, 442, 561, 837]","[23.829520185178353, 23.203005566667798, 61.383111565824834, 37.94549368817479]","[1122.7823332088785, 21.467190105308624, 49.4500763040981, 7.306694097132316]"
4873,"[4873, 4873, 4873, 4873, 4873]","[15, 221, 442, 590, 841]","[13.107548996736613, 23.81825470469039, 23.356588894911624, 60.65588332221557, 42.402420455009974]","[42.85143467750279, 1114.0668914447315, 21.311708345046405, 52.3269683056018, 8.761082559328386]"
4874,"[4874, 4874, 4874, 4874, 4874]","[15, 221, 441, 591, 844]","[13.784235154346591, 23.819971126485314, 23.46038576037546, 58.6296559328689, 43.564104231382316]","[44.2737565616266, 1113.7547006884693, 21.939913156603783, 55.99619202118072, 11.091338829969047]"
4875,"[4875, 4875, 4875, 4875, 4875]","[16, 221, 441, 592, 840]","[14.470484027125858, 23.79788385543125, 23.535625619469783, 56.250769233526626, 43.308480580386345]","[45.06727587282018, 1112.5628476666125, 21.963882763181957, 59.337090196072005, 13.273463349610195]"
4876,"[4876, 4876, 4876, 4876, 4876]","[16, 220, 440, 592, 838]","[14.355639760074475, 23.791799491963616, 23.561664657752374, 49.714200516905294, 40.29219403291336]","[45.48887669390965, 1128.4943061669792, 21.73195151583186, 65.51754707363268, 16.326289974480282]"
4877,"[4877, 4877, 4877, 4877, 4877]","[16, 220, 440, 592, 838]","[14.265945638841796, 23.78147916851438, 23.54374024280679, 41.08972369931473, 40.54439936818221]","[44.30237871774592, 1152.0205661399013, 21.79072548874544, 69.42991929987436, 17.63169788040345]"
4878,"[4878, 4878, 4878, 4878, 4878]","[16, 220, 440, 593, 837]","[14.197901657934244, 23.758437714613365, 23.563505026580003, 35.5091573515665, 41.78454197303222]","[41.85312163697086, 1167.608871592648, 21.56189679383785, 72.8427814985732, 18.01764249858718]"
4879,"[4879, 4879, 4879, 4879, 4879]","[16, 220, 440, 594, 837]","[14.008609445981804, 23.751726457217643, 23.56776736410643, 34.264908749920096, 42.57315178884278]","[39.76110696122157, 1186.3678447234333, 21.73629030405602, 74.84546116916306, 17.865559994969406]"
4880,"[4880, 4880, 4880, 4880, 4880]","[15, 220, 440, 595, 836]","[13.275335709029019, 23.73676970023655, 23.671961200880673, 32.83814093929345, 43.23140564768278]","[40.83558180059274, 1194.6953502639508, 22.465388827335836, 77.0688251742096, 17.625182947973716]"
4881,"[4881, 4881, 4881, 4881, 4881]","[15, 220, 440, 595, 836]","[12.745735382324902, 23.722331895430244, 23.650778890044307, 31.806693225913477, 43.583739370625835]","[38.68816663285072, 1200.0370907999952, 23.14559614859808, 79.45747734399666, 17.28720477169274]"
4882,"[4882, 4882, 4882, 4882]","[220, 440, 595, 836]","[23.72628274357328, 23.613069976650877, 31.757551673878083, 43.983547020878405]","[1216.6325669494263, 23.616995169055095, 81.69290034039705, 17.216761410497767]"
4883,"[4883, 4883, 4883, 4883]","[220, 439, 595, 836]","[23.73056309426846, 23.4081006350591, 32.40338320991498, 44.82629951954482]","[1239.959169182278, 23.636301373417652, 78.83313045624513, 16.916472011444842]"
4884,"[4884, 4884, 4884, 4884]","[220, 439, 596, 837]","[23.736139191462, 23.086394429588154, 34.642232144834, 45.085305287117876]","[1260.547801152456, 23.258815785446266, 74.37144381867668, 16.780498289974037]"
4885,"[4885, 4885, 4885, 4885]","[220, 439, 596, 837]","[23.751416203381353, 22.509413783740456, 37.14017117796254, 45.31293708925364]","[1275.2506266291552, 23.00735293972783, 68.01641094968889, 16.60621975159717]"
4886,"[4886, 4886, 4886, 4886]","[220, 440, 596, 837]","[23.764421509930287, 22.033669086190912, 38.38963470988074, 45.95119442305099]","[1278.8395250777482, 23.243245203609796, 64.26562428870136, 16.257046302263458]"
4887,"[4887, 4887, 4887, 4887]","[220, 440, 597, 836]","[23.772447678705532, 21.32340040435014, 39.34280532528703, 46.97298210979875]","[1277.2385997985232, 23.03919460723543, 61.55909105749858, 15.500910178623775]"
4888,"[4888, 4888, 4888, 4888]","[220, 440, 598, 836]","[23.782208102407708, 21.351834436192007, 39.42868185901989, 46.67819027176142]","[1279.3063677997911, 22.416997573934534, 61.62789834263279, 15.397499703245359]"
4889,"[4889, 4889, 4889, 4889]","[220, 440, 598, 836]","[23.810364057285256, 21.68068023278329, 43.52678536226529, 46.391039327734916]","[1291.504607052613, 22.2525201508311, 58.416522686654226, 14.865501661425585]"
4890,"[4890, 4890, 4890, 4890]","[221, 441, 598, 834]","[23.848931826190608, 22.00235312621959, 47.9803176403251, 40.24519115091607]","[1315.7791388878595, 21.66355604964584, 53.75407909779029, 13.874136122127515]"
4891,"[4891, 4891, 4891, 4891]","[221, 441, 598, 833]","[23.838065343046395, 22.253298532706594, 49.31973703470851, 36.60800006093166]","[1329.248750837268, 20.84663469472679, 50.39474662586987, 12.107916132413656]"
4892,"[4892, 4892, 4892, 4892]","[221, 441, 598, 833]","[23.849006401503686, 22.725402248650198, 49.53382938142897, 81.97659456910719]","[1337.5120133762364, 20.65729817208185, 48.33285772538686, 9.398524970354394]"
4893,"[4893, 4893, 4893, 4893]","[221, 442, 599, 889]","[23.850177778867987, 23.209640625039015, 52.86409358198739, 110.19978699940793]","[1329.262801742042, 20.583191198087235, 43.951884863422116, 7.492913732686411]"
