,Time_index,Frequency,Bandwidth,Amplitude
42,"[42, 42, 42, 42]","[14, 160, 287, 460]","[9.112889998872685, 23.88162042106032, 52.02943306092027, 27.827384646941653]","[40.824440353442526, 0.9381782053747383, 1.0183464656395596, 2.5931877746964003]"
43,"[43, 43, 43, 43]","[15, 160, 287, 460]","[11.690709800528676, 24.472256578611052, 56.808392982051515, 27.14557652792604]","[39.40422494100343, 1.0145149193578682, 1.0895086920483616, 1.82790798492783]"
44,"[44, 44, 44, 44, 44]","[17, 160, 286, 460, 568]","[13.406994420945187, 24.705411401078067, 61.68975255906946, 26.446364608323563, 29.682072287424717]","[39.73641006503055, 1.0986230098095995, 0.9907712587946897, 1.4756563797325555, 0.5583357084553988]"
45,"[45, 45, 45, 45, 45]","[17, 160, 286, 459, 565]","[13.857059344735891, 24.477301817774247, 71.50213133249966, 26.784799792352032, 30.066601291122538]","[40.79877377090426, 1.092667418180221, 0.8888719390974084, 1.1009258094826029, 0.5531375629555461]"
46,"[46, 46, 46, 46, 46]","[17, 160, 285, 458, 564]","[14.04919186265697, 24.38876747323306, 77.35575243324638, 27.039053275217896, 29.752495449939715]","[42.32594254421778, 1.09460225065425, 0.8623426921507942, 0.9303353474509009, 0.5356005273870869]"
47,"[47, 47, 47, 47, 47]","[17, 160, 283, 457, 562]","[14.725895375984871, 24.256677416391, 148.39341450929095, 27.238827487180288, 32.006589274248995]","[45.09413179247663, 1.1142234158639273, 0.804846379764712, 0.8506221031896266, 0.5965472376819845]"
48,"[48, 48, 48, 48, 48]","[18, 160, 285, 457, 558]","[15.638495954357074, 23.804623991244995, 153.3526504652733, 26.651661306220205, 35.16500003292208]","[46.2053761633319, 1.1373028641271365, 0.7790576811689974, 0.8281428646938206, 0.6847600230564721]"
49,"[49, 49, 49, 49, 49]","[18, 160, 283, 456, 557]","[15.577613539241785, 23.550866763713344, 152.31243727307125, 26.97775720096388, 35.949731637745685]","[46.94930142613925, 1.0870233535778617, 0.7723399050070329, 0.813832998382987, 0.7266277487411641]"
50,"[50, 50, 50, 50, 50]","[18, 160, 282, 456, 555]","[15.605782461146298, 23.775304158235343, 153.76137372167807, 26.987950959977923, 34.48478812586586]","[45.55162165833939, 1.0638249929973342, 0.7650705002230103, 0.7923450509640725, 0.746390140854458]"
51,"[51, 51, 51, 51, 51]","[18, 160, 284, 455, 552]","[15.474845389702509, 24.15591049505514, 142.11219839040768, 25.97571166757956, 36.22602469894525]","[43.82124605900782, 1.0956186580415122, 0.7671660001524568, 0.7521560488316309, 0.7493686543687177]"
